type,title,director,date_added,release_year,rating,duration
TV Show,3%,,14-Aug-20,2020,TV-MA,4 Seasons
Movie,7:19,Jorge Michel Grau,23-Dec-16,2016,TV-MA,93 min
Movie,23:59,Gilbert Chan,20-Dec-18,2011,R,78 min
Movie,9,Shane Acker,16-Nov-17,2009,PG-13,80 min
Movie,21,Robert Luketic,1-Jan-20,2008,PG-13,123 min
TV Show,46,Serdar Akar,1-Jul-17,2016,TV-MA,1 Season
Movie,122,Yasir Al Yasiri,1-Jun-20,2019,TV-MA,95 min
Movie,187,Kevin Reynolds,1-Nov-19,1997,R,119 min
Movie,706,Shravan Kumar,1-Apr-19,2019,TV-14,118 min
Movie,1920,Vikram Bhatt,15-Dec-17,2008,TV-MA,143 min
Movie,1922,Zak Hilditch,20-Oct-17,2017,TV-MA,103 min
TV Show,1983,,30-Nov-18,2018,TV-MA,1 Season
TV Show,1994,Diego Enrique Osorno,17-May-19,2019,TV-MA,1 Season
Movie,"2,215",Nottapon Boonprakob,1-Mar-19,2018,TV-MA,89 min
Movie,3022,John Suits,19-Mar-20,2019,R,91 min
Movie,1-Oct,Kunle Afolayan,1-Sep-19,2014,TV-14,149 min
TV Show,9-Feb,,20-Mar-19,2018,TV-14,1 Season
Movie,22-Jul,Paul Greengrass,10-Oct-18,2018,R,144 min
Movie,15-Aug,Swapnaneel Jayakar,29-Mar-19,2019,TV-14,124 min
Movie,'89,,16-May-18,2017,TV-PG,87 min
Movie,​​Kuch Bheege Alfaaz,Onir,1-Sep-18,2018,TV-14,110 min
Movie,​Goli Soda 2,Vijay Milton,15-Sep-18,2018,TV-14,128 min
Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,15-Sep-18,2017,TV-14,117 min
Movie,​Mayurakshi,Atanu Ghosh,15-Sep-18,2017,TV-14,100 min
TV Show,​SAINT SEIYA: Knights of the Zodiac,,23-Jan-20,2020,TV-14,2 Seasons
Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",30-Jun-16,2015,NR,84 min
TV Show,(Un)Well,,12-Aug-20,2020,TV-MA,1 Season
Movie,#Alive,Cho Il,8-Sep-20,2020,TV-MA,99 min
Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",1-Jul-20,2019,TV-14,95 min
TV Show,#blackAF,,17-Apr-20,2020,TV-MA,1 Season
Movie,#cats_the_mewvie,Michael Margolis,5-Feb-20,2020,TV-14,90 min
Movie,#FriendButMarried,Rako Prijanto,21-May-20,2018,TV-G,102 min
Movie,#FriendButMarried 2,Rako Prijanto,28-Jun-20,2020,TV-G,104 min
