show_id,type,title,director,date_added,release_year,rating,duration
s1,TV Show,3%,,14-Aug-20,2020,TV-MA,4 Seasons
s2,Movie,7:19,Jorge Michel Grau,23-Dec-16,2016,TV-MA,93 min
s3,Movie,23:59,Gilbert Chan,20-Dec-18,2011,R,78 min
s4,Movie,9,Shane Acker,16-Nov-17,2009,PG-13,80 min
s5,Movie,21,Robert Luketic,1-Jan-20,2008,PG-13,123 min
s6,TV Show,46,Serdar Akar,1-Jul-17,2016,TV-MA,1 Season
s7,Movie,122,Yasir Al Yasiri,1-Jun-20,2019,TV-MA,95 min
s8,Movie,187,Kevin Reynolds,1-Nov-19,1997,R,119 min
s9,Movie,706,Shravan Kumar,1-Apr-19,2019,TV-14,118 min
s10,Movie,1920,Vikram Bhatt,15-Dec-17,2008,TV-MA,143 min
s11,Movie,1922,Zak Hilditch,20-Oct-17,2017,TV-MA,103 min
s12,TV Show,1983,,30-Nov-18,2018,TV-MA,1 Season
s13,TV Show,1994,Diego Enrique Osorno,17-May-19,2019,TV-MA,1 Season
s14,Movie,"2,215",Nottapon Boonprakob,1-Mar-19,2018,TV-MA,89 min
s15,Movie,3022,John Suits,19-Mar-20,2019,R,91 min
s16,Movie,1-Oct,Kunle Afolayan,1-Sep-19,2014,TV-14,149 min
s17,TV Show,9-Feb,,20-Mar-19,2018,TV-14,1 Season
s18,Movie,22-Jul,Paul Greengrass,10-Oct-18,2018,R,144 min
s19,Movie,15-Aug,Swapnaneel Jayakar,29-Mar-19,2019,TV-14,124 min
s20,Movie,'89,,16-May-18,2017,TV-PG,87 min
s21,Movie,​​Kuch Bheege Alfaaz,Onir,1-Sep-18,2018,TV-14,110 min
s22,Movie,​Goli Soda 2,Vijay Milton,15-Sep-18,2018,TV-14,128 min
s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,15-Sep-18,2017,TV-14,117 min
s24,Movie,​Mayurakshi,Atanu Ghosh,15-Sep-18,2017,TV-14,100 min
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,,23-Jan-20,2020,TV-14,2 Seasons
s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",30-Jun-16,2015,NR,84 min
s27,TV Show,(Un)Well,,12-Aug-20,2020,TV-MA,1 Season
s28,Movie,#Alive,Cho Il,8-Sep-20,2020,TV-MA,99 min
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",1-Jul-20,2019,TV-14,95 min
s30,TV Show,#blackAF,,17-Apr-20,2020,TV-MA,1 Season
s31,Movie,#cats_the_mewvie,Michael Margolis,5-Feb-20,2020,TV-14,90 min
s32,Movie,#FriendButMarried,Rako Prijanto,21-May-20,2018,TV-G,102 min
s33,Movie,#FriendButMarried 2,Rako Prijanto,28-Jun-20,2020,TV-G,104 min
s34,Movie,#realityhigh,Fernando Lebrija,8-Sep-17,2017,TV-14,99 min
s35,Movie,#Roxy,Michael Kennedy,10-Apr-19,2018,TV-14,105 min
s36,Movie,#Rucker50,Robert McCullough Jr.,1-Dec-16,2016,TV-PG,56 min
s37,Movie,#Selfie,Cristina Jacob,1-Jun-19,2014,TV-MA,125 min
s38,Movie,#Selfie 69,Cristina Jacob,1-Jun-19,2016,TV-MA,119 min
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,,30-Mar-19,2016,TV-14,1 Season
s40,Movie,"¡Ay, mi madre!",Frank Ariza,19-Jul-19,2019,TV-MA,81 min
s41,Movie,Çarsi Pazar,Muharrem Gülmez,10-Mar-17,2015,TV-14,97 min
s42,Movie,Ég man þig,Óskar Thór Axelsson,27-Mar-18,2017,TV-MA,106 min
s43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,10-Mar-17,2010,TV-MA,99 min
s44,Movie,Òlòtūré,Kenneth Gyang,2-Oct-20,2020,TV-MA,107 min
s45,Movie,Æon Flux,Karyn Kusama,1-Feb-18,2005,PG-13,93 min
s46,TV Show,Şubat,,17-Jan-17,2013,TV-MA,1 Season
s47,Movie,1 Chance 2 Dance,Adam Deyoe,1-Jul-17,2014,TV-PG,89 min
s48,Movie,1 Mile to You,Leif Tilden,7-Jul-17,2017,TV-14,105 min
s49,Movie,10 Days in Sun City,Adze Ugah,18-Oct-19,2017,TV-14,87 min
s50,Movie,10 jours en or,Nicolas Brossette,1-Jul-17,2012,TV-14,97 min
s51,Movie,"10,000 B.C.",Roland Emmerich,1-Jun-19,2008,PG-13,109 min
s52,TV Show,100 Days My Prince,,7-Dec-20,2018,TV-14,1 Season
s53,Movie,100 Days Of Solitude,,6-Jul-18,2018,TV-MA,93 min
s54,TV Show,100 Humans,,13-Mar-20,2020,TV-14,1 Season
s55,Movie,100 Meters,Marcel Barrena,10-Mar-17,2016,TV-MA,109 min
s56,Movie,100 Things to do Before High School,,2-Nov-19,2014,TV-Y,44 min
s57,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,20-Mar-18,2016,TV-14,75 min
s58,Movie,100% Halal,Jastis Arimba,7-Jan-21,2020,TV-14,101 min
s59,TV Show,100% Hotter,,1-Nov-19,2017,TV-14,1 Season
s60,Movie,1000 Rupee Note,Shrihari Sathe,1-Dec-16,2014,TV-14,89 min
s61,Movie,12 ROUND GUN,Sam Upton,14-Mar-19,2017,TV-MA,90 min
s62,TV Show,12 Years Promise,,22-May-17,2014,TV-14,1 Season
s63,Movie,13 Cameras,Victor Zarcoff,13-Aug-16,2015,NR,90 min
s64,TV Show,13 Reasons Why,,5-Jun-20,2020,TV-MA,4 Seasons
s65,TV Show,13 Reasons Why: Beyond the Reasons,,23-Aug-19,2019,TV-MA,3 Seasons
s66,Movie,13 Sins,Daniel Stamm,13-Jan-19,2014,R,93 min
s67,Movie,13TH,Ava DuVernay,7-Oct-16,2016,TV-MA,101 min
s68,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,26-Jan-17,2017,,37 min
s69,Movie,14 Blades,Daniel Lee,3-Apr-19,2010,R,113 min
